L-wrist,R-wrist,L-elbow,R-elbow,L-shoulder,R-shoulder,L-knee,R-knee,L-ankle,R-ankle,L-hip,R-hip,Pose_Label
90.55045857,159.6124425,123.5745643,151.3972175,239.5266811,233.3090139,297.2718308,304.3815124,266.3421467,265.8387885,79.58139593,96.27213731,balasana
162.2614858,155.359743,158.761248,197.8330928,62.8778013,40.13904422,48.9055557,54.8863453,123.1502795,136.8236044,234.7447797,52.04093378,balasana
107.2846685,205.7581291,144.3591949,133.9769652,222.6056237,202.2714611,298.5770572,302.7082576,205.4802521,216.3299304,83.33320415,101.8997996,balasana
170.1167752,180.526758,141.5897254,140.8109256,223.6999692,222.900398,50.37501931,47.45752623,243.3920751,264.1092173,60.10737397,117.3376509,balasana
111.2428298,97.53981169,217.6423264,211.8790501,142.2038278,145.1680467,49.14736907,56.4874408,114.6409179,123.4623556,243.5028016,61.36958772,balasana
146.4547189,157.5242751,189.1776287,192.581662,162.9840266,155.6590173,34.50879535,40.12320979,118.1959663,116.2542128,289.4763831,108.7902197,balasana
107.4800445,130.4994514,242.1888481,250.1294749,70.87443368,71.03150349,52.97061947,54.87695991,144.6379669,140.0464103,250.7051745,74.05293906,balasana
163.6279425,185.6517661,238.5619276,213.8970056,134.3018653,133.8066765,45.39696437,60.4478792,95.44061741,117.4344104,232.6452651,51.8931777,balasana
132.470909,169.3484575,150.3768068,161.1081025,225.6666463,221.2641493,48.16735794,49.45230815,234.026987,239.971575,83.41199266,97.15832108,balasana
88.90832287,145.5165301,151.0782128,101.8821753,229.7062501,224.1086412,63.24891836,52.03172083,200.753684,197.6421655,27.00283714,153.2246784,balasana
158.7254791,97.60903681,251.9023808,225.5077261,76.66975365,69.48522774,40.63926235,42.86259255,155.5229629,128.6372421,247.5020978,67.08356805,balasana
146.4417234,219.5662948,207.7646295,191.9542876,148.3500379,152.6791943,47.45019889,56.19483426,124.6565483,138.9485421,247.5771401,64.494941,balasana
187.6459749,156.6658748,195.9468995,214.4232828,315.3005323,304.0302178,40.29376508,322.2255033,244.8545407,248.5899082,57.39632675,119.382807,balasana
200.3715958,177.8380818,212.8472101,210.4736401,44.44189512,53.49850672,134.2775545,97.83634174,209.6356863,200.129922,244.4122578,89.79024665,balasana
